project	run	cb_cyclo	cb_cyclo_bt	cb_cyclo_div
hadoop-common	0	0.9735836242777182	0.9758535190999904	0.9998990717212016
hadoop-common	1	0.9734165920499179	0.9758535190999904	0.9998990717212016
hadoop-common	2	0.9746810222564026	0.9758535190999904	0.9998990717212016
hadoop-common	3	0.9738571142023351	0.9758535190999904	0.9998990717212016
hadoop-common	4	0.9743971272194348	0.9758535190999904	0.9998990717212016
hadoop-common	5	0.9746546274794438	0.9758535190999904	0.9998990717212016
hadoop-common	6	0.9749167213507924	0.9758535190999904	0.9998990717212016
hadoop-common	7	0.9743610990376995	0.9758535190999904	0.9998990717212016
hadoop-common	8	0.9736338105057388	0.9758535190999904	0.9998990717212016
hadoop-common	9	0.9732046132294692	0.9758535190999904	0.9998990717212016
hadoop-hdfs	0	0.6917473234406305	0.7618478989511154	0.9152040370204151
hadoop-hdfs	1	0.711192662407871	0.7618478989511154	0.9152039923805924
hadoop-hdfs	2	0.6968133528168942	0.7618478989511154	0.9152040370204151
hadoop-hdfs	3	0.6871586309324188	0.7618478989511154	0.9152040370204151
hadoop-hdfs	4	0.6962505194961364	0.7618478989511154	0.9152040593403264
hadoop-hdfs	5	0.7144853547115526	0.7618478989511154	0.9152039923805924
hadoop-hdfs	6	0.6960397054881525	0.7618478989511154	0.9152040370204151
hadoop-hdfs	7	0.7140561275594822	0.7618478989511154	0.9152040370204151
hadoop-hdfs	8	0.7037170124660778	0.7618478989511154	0.9152041486199718
hadoop-hdfs	9	0.7065014709717415	0.7618478989511154	0.9152039923805924
hbase-server	0	0.8302408843325898	0.835307889723338	0.9946804592220065
hbase-server	1	0.8312631647924765	0.835307889723338	0.9946804211078697
hbase-server	2	0.8280346882221046	0.835307889723338	0.9946804592220065
hbase-server	3	0.8184023144850935	0.835307889723338	0.9946804849541239
hbase-server	4	0.8229612847979663	0.835307889723338	0.994680459893703
hbase-server	5	0.8242298245319474	0.835307889723338	0.9946804427170424
hbase-server	6	0.8243893223044143	0.8353079062283023	0.9946806545168455
hbase-server	7	0.8237224823556106	0.835307889723338	0.9946805992260479
hbase-server	8	0.8221809216014074	0.8353079062283023	0.9946806116080675
hbase-server	9	0.8183358989356564	0.835307889723338	0.9946804856258203
zookeeper-server	0	0.9088566012720202	0.9017904055482678	0.9016148973337331
zookeeper-server	1	0.9061339932101421	0.9017904055482678	0.9016148973337331
zookeeper-server	2	0.9050569286633399	0.9017904055482678	0.9016148973337331
zookeeper-server	3	0.9061401437593066	0.9017904055482678	0.9016148973337331
zookeeper-server	4	0.906140676599282	0.9017904055482678	0.9016148973337331
zookeeper-server	5	0.9088428262449416	0.9017904055482678	0.9016148973337331
zookeeper-server	6	0.9072253904038572	0.9017904055482678	0.9016148973337331
zookeeper-server	7	0.9050708044661058	0.9017904055482678	0.9016148973337331
zookeeper-server	8	0.9066728652533761	0.9017904055482678	0.9016148973337331
zookeeper-server	9	0.909402830730587	0.9017904055482678	0.9016148973337331
alluxio-core	0	0.8661142836387089	0.8563665932128999	0.7502914449538307
alluxio-core	1	0.8624568981792291	0.8563792306695437	0.750301166074326
alluxio-core	2	0.8618590578497215	0.8563714537731475	0.7502982497381774
alluxio-core	3	0.8848108434483368	0.8563811748936427	0.7505859949048364
alluxio-core	4	0.8122872701148408	0.8563831191177418	0.7505743295602421
alluxio-core	5	0.8757056597913232	0.8563811748936427	0.7503147756430194
alluxio-core	6	0.8711751972705452	0.856370481661098	0.7503147756430194
alluxio-core	7	0.8571006275393366	0.8563675653249494	0.7503186640912175
alluxio-core	8	0.8776799852303083	0.8563753422213456	0.7505879391289354
alluxio-core	9	0.8103671758053316	0.8563743701092961	0.7503069987466231
